Id,HomeTeam,AwayTeam,HomeScore,AwayScore,MatchDate,Scorers,IsFinished,Stage;;;;;
1,Mexico,Sudafrica,3,1,2026-07-16T18:00:00,Neymar;Raul;Oscar;Olic,True,Group A;;
2,Corea del Sur,Republica Checa,1,0,2026-07-16T15:00:00,Yong,True,Group A;;;;;
3,Canada,Bosnia y Herzegovina,1,5,2026-07-16T18:00:00,Alonso;Simons;Nicola;Amar;Robben;de Vrij,True,Group B
4,Catar,Suiza,3,1,2026-07-16T21:00:00,Sanchez;Valdivia;Beausejour;Cahill,True,Group B;;
5,Brasil,Marruecos,3,0,2026-07-17T13:00:00,Ronaldo;Rivao;Neymar,True,Group C;;;
6,Escocia,Haiti,2,1,2026-07-17T22:00:00,Bony;Gervinho;Stillson,True,Group C;;;
7,Estados Unidos,Paraguay,1,3,2026-07-17T16:00:00,Macharty;Campos;Duarte;Urena,True,Group D;;
8,Australia,Turquia,1,2,2026-07-17T18:00:00,Sturridge;Marchisio;Balote,True,Group D;;;
9,Corea del Sur,Mexico,,,2026-07-26T15:30:00:00,,False,Group A;;;;;
10,Sudafrica,Republica Checa,,,2026-07-30T18:00:00,,False,Group A;;;;;
11,Bosnia y Herzegovina,Catar,,,2026-07-30T15:00:00,,False,Group B;;;;;
12,Canada,Suiza,,,2026-07-30T18:00:00,,False,Group B;;;;;
13,Haiti,Brasil,,,2026-07-31T12:00:00,,False,Group C;;;;;
14,Marruecos,Escocia,,,2026-07-31T18:00:00,,False,Group C;;;;;
15,Paraguay,Australia,,,2026-07-31T15:00:00,,False,Group D;;;;;
16,Turquia,Estados Unidos,,,2026-07-31T18:00:00,,False,Group D;;;;;
