Id,Name,IsPrivate,OwnerUsername,MemberUsernames,NotificationTimeline
League1,Mundialistas de Corazon,False,Ariandy.Nunez,Ariandy.Nunez;Glen.Villagra;Tayron.Salas;juan.perez;maria.gomez;carlos.rojas;pedro.soto;monica.araya;alejandro.delgado;manuel.gonzalez;patricia.brenes;silvia.lobo;gustavo.miranda;tatiana.quesada;admin;test,Ariandy.Nunez acertó el marcador de Brasil vs Croacia (5 pts)!;Kendall.Mata es el nuevo líder!;Tayron.Salas está en racha de aciertos!
League2,Desafio de Oficina,True,Kendall.Mata,Kendall.Mata;Ariandy.Nunez;juan.perez;maria.gomez;luis.vargas;sofia.castro;elena.chaves;mariela.diaz;ricardo.mora;alejandro.delgado;natalia.herrera;patricia.brenes;victor.esquivel;gustavo.miranda;adriana.solis;admin,Kendall.Mata acertó el marcador de Uruguay vs Costa Rica (5 pts)!;Glen.Villagra es el peor de la liga!
League3,Grupo de Amigos,True,Glen.Villagra,Glen.Villagra;carlos.rojas;diego.solano;lucia.ortiz;gabriel.marin;ricardo.mora;natalia.herrera;jose.cordero;victor.esquivel;raquel.quiros;adriana.solis;francisco.valverde;admin,Glen.Villagra acertó el ganador de Chile vs Australia (2 pts)!;Ariadny Nunez es la nueva líder!
League4,Expertos Futboleros,True,andres.segura,andres.segura;Kendall.Mata;ana.watson;laura.jimenez;camila.vega;daniela.salas;oscar.mendez;jose.cordero;gabriela.campos;raquel.quiros;roberto.navarro;tatiana.quesada;admin,andres.segura acertó el marcador de Inglaterra vs Italia (5 pts)!;Racha de Kendall.Mata rota!
League5,Pica la Bola,True,Tayron.Salas,Tayron.Salas;luis.vargas;felipe.morales;valeria.ruiz;jorge.blanco;oscar.mendez;monica.araya;gabriela.campos;manuel.gonzalez;roberto.navarro;silvia.lobo;tatiana.quesada;admin,Tayron.Salas acertó el marcador de España vs Holanda (5 pts)!;Goleada histórica en Pica la Bola!
League6,Peores del Barrio,True,sofia.castro,sofia.castro;diego.solano;lucia.ortiz;andres.segura;laura.jimenez;felipe.morales;valeria.ruiz;pedro.soto;elena.chaves;gabriel.marin;camila.vega;jorge.blanco;admin,sofia.castro falló todos los pronósticos de hoy!;Diego es el peor del ranking!
506,Mexico Vs CR,False,avchaves,avchaves;dvegavi;dmenesesb;saguilar;fbinns;faugus;arivas;lnavarro;cmaia;mosorio,mosorio se ha unido a la quiniela!;cmaia se ha unido a la quiniela!;lnavarro se ha unido a la quiniela!;arivas se ha unido a la quiniela!;faugus se ha unido a la quiniela!;fbinns se ha unido a la quiniela!;saguilar se ha unido a la quiniela!;dmenesesb se ha unido a la quiniela!;dvegavi se ha unido a la quiniela!;Quiniela creada por avchaves!
507,Amigos,False,fbinns,fbinns;mlopez;jvargas;lnavarro;mosorio;dvegavi,dvegavi se ha unido a la quiniela!;mosorio se ha unido a la quiniela!;lnavarro se ha unido a la quiniela!;jvargas se ha unido a la quiniela!;mlopez se ha unido a la quiniela!;Quiniela creada por fbinns!
508,Fanaticos,False,faugus,faugus;arivas;cmendez;asanchez;cmaia,cmaia se ha unido a la quiniela!;asanchez se ha unido a la quiniela!;cmendez se ha unido a la quiniela!;arivas se ha unido a la quiniela!;Quiniela creada por faugus!
509,Los fiebres,True,arivas,arivas;cmendez;mmata;jvargas;cmaia;aotarola;dvegavi,dvegavi se ha unido a la quiniela!;aotarola se ha unido a la quiniela!;cmaia se ha unido a la quiniela!;jvargas se ha unido a la quiniela!;mmata se ha unido a la quiniela!;cmendez se ha unido a la quiniela!;Quiniela creada por arivas!
510,Barra brava,True,cmendez,cmendez;mmata;mlopez;lnavarro;mosorio;kmurillo;dvegavi,dvegavi se ha unido a la quiniela!;kmurillo se ha unido a la quiniela!;mosorio se ha unido a la quiniela!;lnavarro se ha unido a la quiniela!;mlopez se ha unido a la quiniela!;mmata se ha unido a la quiniela!;Quiniela creada por cmendez!
511,Turrialbeños,True,mmata,mmata;mlopez;jvargas;lnavarro;cmaia,cmaia se ha unido a la quiniela!;lnavarro se ha unido a la quiniela!;jvargas se ha unido a la quiniela!;mlopez se ha unido a la quiniela!;Quiniela creada por mmata!
513,Bellas,True,rzamora,rzamora,Quiniela creada por rzamora!
514,bellas,True,rzamora,rzamora,Quiniela creada por rzamora!
